name,duration_ms,duration_seg,track_id,popularity,artist_name
Ferxxo 100,167760,2.8,1sbNEFiURUYfy024cJX8JG,81,Feid
Normal,171880,2.86,0T2pB7P1VdXPhLdQZ488uH,84,Feid
Si Te La Encuentras Por Ahí,191506,3.19,2vsoD8S1OyrWSVIA43hjaU,73,Feid
Castigo,177280,2.95,18pWcEUcUJpBFs7eNBsBht,70,Feid
Mbappe,147692,2.46,2lmWwBLVJ2P0HX491zkYws,78,Eladio Carrion
Rara Vez,128677,2.14,7MVIfkyzuUmQ716j8U7yGR,86,Taiu
Coco Chanel,208125,3.47,0PB0O24JqAuNdOAFVJljMS,83,Eladio Carrion
Tití Me Preguntó,243716,4.06,1IHWl5LamUGEuP4ozKQSXZ,85,Bad Bunny
Cómo Te Atreves,240560,4.01,7M6CFruBrM5x7u0lTMtm6r,78,Morat
Besos En Guerra,231532,3.86,1mlGScrDQqHqmhdIqE8MmA,80,Morat
Olívia,170735,2.85,0gRIXIUFSqWqw5rXcmaf9o,57,The Tyets
Bailoteo,180092,3.0,6ZwiumLIwT05zwF4gB385A,41,The Tyets
Sofia,210466,3.51,5vj59ONIVbyhcrI8ZSwoRo,72,Alvaro Soler
La Cintura,204666,3.41,6VUJQqyeQhAZHkQbSDqLtI,66,Alvaro Soler
Todo Contigo,165527,2.76,4rQu72zFJz3qne1bnEkVSt,65,Álvaro De Luna
Juramento eterno de sal,205546,3.43,23E53f3C9SJ9MqBh1f6hEw,62,Álvaro De Luna
Gol,222680,3.71,4uHs0TfECKllxN8zeLWqJu,54,Cali Y El Dandee
El món de veritat,143417,2.39,3mM2C5Ics0ToUamFhkqo10,46,Buhos
DIABLA,162471,2.71,5lDRfQXgTA985GAb0ngSHi,53,Figa Flawas
LA PLATJA,160151,2.67,4vGgXINwSDERPdlFk7OMMd,49,Stay Homas
La Meva Gent (feat. Els Amics De Les Arts),174352,2.91,7mdgZksPWuKJ8JEH4Y5mps,34,La Pegatina
MUSSEGU - Sped Up,116000,1.93,0UeRsooHswCoOx4hbLG5N1,31,Figa Flawas
Supermercat,186594,3.11,0CAYgw0pHm64iNgqeeyL25,38,Lildami
La Bachata,162637,2.71,5ww2BF9slyYgNOk37BlC4u,84,Manuel Turizo
Propuesta Indecente,235133,3.92,5PycBIeabfvX3n9ILG7Vrv,82,Romeo Santos
Boig Per Tu,258000,4.3,5gtwBFz91hNzSpSSiSmTvA,47,Sau
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",191254,3.19,2NFadq6pUeiVEihLvUlOSr,75,Bizarrap
Arena y Sal,174415,2.91,5iilNoD56jD3FJ3bM9tMP0,73,Omar Montes
No_se_ve.mp3,203636,3.39,2iIBpwP4FyQ95xgVail3yr,77,Emilia
Quitate el Top - Radio Edit,192173,3.2,23vixsBgyAF9ziSr2U5W4M,41,Tapo & Raya
Waka Waka (Esto es Africa) (feat. Freshlyground),202653,3.38,0W8nDs4H2cqxxAgszNMYO3,62,Shakira
Loba,189200,3.15,1fPCGREltHJuV3axEPydLp,73,Shakira
La Bicicleta,229509,3.83,0Gx4VrHzS7pZOEAGrmXXBH,76,Carlos Vives
Nochentera,202184,3.37,20CozgjF6bshBw8cLhN23B,73,Vicco
Hayami Hana,327000,5.45,1G7dT2vBltjqflkUEHwRoX,66,Rauw Alejandro
La nit està que crema,204936,3.42,4SdNsYl6CwRHvdDBHL8quh,44,Buhos
De Fiesta Por Sevilla,514612,8.58,4jt4PXpENRL4YbfAHd1de7,29,Wade
Marianela (Que Pasa),145766,2.43,5bZjb7xKqLqa58QiUBcVvl,74,HUGEL
Bangarang (feat. Sirah),215253,3.59,6VRhkROS2SZHGlp0pxndbJ,72,Skrillex
XALALÀ,173953,2.9,0ZEIGkG2rc6mEu6DFX76Dw,43,Figa Flawas
Entrant a Barraques,131533,2.19,6UpIJZuAWbuAtpNsTSK4S5,26,Yung Rovelló
Massa Bé,179824,3.0,02PS1UOSROIe7WVzBWZSGE,32,Doctor Prats
Bomba de fum,136743,2.28,6J5WnxvBBAgBZFVcwZk5g4,43,The Tyets
Vui Se Pulisia,234187,3.9,0H9TgtfX3bDqrCJS5eMTQC,29,P.A.W.N. Gang
Traductor,222857,3.71,5x17YrAwajDUCqB8zT9ElY,67,Tiago PZK
El Mambo,129845,2.16,51QmqegeWI2orK2mzDfnIH,75,Kiko Rivera
Iris,289533,4.83,6Qyc6fS4DsZjB2mRW9DsQs,89,The Goo Goo Dolls
Before You Go,215106,3.59,2gMXnyrvIjhVBUZwvLZDMP,87,Lewis Capaldi
Youth,253013,4.22,4AmcmraFjVzFb9SQDNTRyl,0,Daughter
Freaks,147036,2.45,0HUTL8i4y4MiGCPId7M7wb,0,Surf Curse
Medicine,258973,4.32,4TxJQDtvYHJcOBH6ONi6q2,0,Daughter
Another Love,244360,4.07,7otCGmgp9h4CsR2LhwB6gt,71,Tom Odell
